Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
8.2,6.7,15.9,13.1,30.8,34.6,12086005403
8.9,7.2,17.1,14.6,32.0,35.2,12086005405
8.2,7.5,16.1,15.4,32.1,36.0,12086005406
8.4,7.6,16.7,15.7,33.1,36.4,12086005201
10.5,8.5,20.0,15.1,34.3,37.3,12086003601
8.6,7.3,15.9,15.0,31.5,36.0,12086005202
6.8,6.6,11.0,11.3,24.8,32.4,12086004403
9.4,6.8,14.0,11.3,25.0,30.9,12086004404
5.7,6.6,10.7,11.0,25.5,32.2,12086003707
4.4,6.2,9.2,12.8,32.3,40.2,12086003706
3.8,6.2,6.3,10.3,21.7,31.7,12086004406
10.0,6.8,17.9,12.2,29.3,32.6,12086005703
9.7,7.1,17.9,13.9,31.0,34.6,12086005103
9.7,7.1,18.1,13.5,30.9,34.2,12086005002
8.0,6.5,15.3,11.9,28.7,33.1,12086490100
12.0,7.0,20.8,12.1,29.9,32.2,12086005102
3.1,5.8,5.5,8.8,20.6,30.1,12086004301
2.8,6.4,5.8,10.8,23.1,33.4,12086003702
8.3,11.1,18.4,19.0,39.7,45.4,12086003400
4.5,6.6,8.2,12.7,26.2,34.2,12086004303
4.6,6.0,7.9,9.6,22.5,30.8,12086004304
5.4,6.0,7.8,8.0,20.3,28.0,12086004102
7.9,7.2,15.8,14.1,31.2,34.8,12086005104
6.9,6.8,14.5,13.7,31.1,35.1,12086004901
9.3,7.8,16.1,13.7,30.7,36.1,12086003001
5.1,6.3,8.3,10.3,22.0,30.8,12086004205
3.3,6.1,5.6,10.3,21.8,31.9,12086004203
9.0,7.7,16.8,15.1,32.7,37.7,12086003004
8.7,6.9,16.4,12.9,29.9,34.0,12086005001
4.1,6.1,7.1,10.6,22.9,32.2,12086004204
8.5,7.4,16.4,14.7,31.7,35.5,12086003003
8.0,11.9,18.2,20.4,39.8,45.3,12086003100
3.0,6.0,5.4,8.9,20.3,30.4,12086002703
5.6,6.0,9.3,9.5,22.3,30.5,12086004206
5.2,7.4,10.6,14.0,28.9,35.9,12086002702
7.6,7.6,15.4,15.7,33.2,36.9,12086002402
7.8,7.9,16.1,16.2,34.3,38.0,12086002900
8.3,9.3,17.4,18.1,38.5,42.7,12086002800
3.0,6.2,6.3,10.4,23.3,32.4,12086002706
4.9,6.4,7.5,9.6,21.5,30.0,12086004106
5.3,6.0,8.6,8.9,20.2,28.8,12086004105
8.6,8.6,17.3,17.2,34.6,38.5,12086002501
7.4,7.2,14.9,14.4,31.2,35.6,12086002403
12.4,8.2,22.4,16.2,34.9,36.3,12086002404
5.5,7.7,11.3,14.5,29.8,35.9,12086002600
4.2,6.6,8.1,10.8,24.6,32.8,12086002705
7.1,6.4,11.9,10.6,25.1,31.3,12086004103
5.3,8.2,11.6,17.5,32.0,37.7,12086001703
8.1,8.8,16.9,16.4,34.3,39.2,12086002502
8.7,10.3,18.7,16.7,37.1,43.1,12086002300
8.6,6.8,16.1,12.6,29.7,33.6,12086001602
5.8,6.5,8.7,9.8,21.6,29.8,12086004000
7.4,10.0,16.6,15.6,35.9,42.9,12086001802
